Identifier,Start date,End date,Number of deaths,Incident,State,Year,Month,Month Name
IBD031954,2025-03-11,2025-03-11,2,Vigilantes,Fct (Abuja),2025,3,March
IBD032024,2025-03-11,2025-03-11,1,Kidnappers Vs Village Head,Kaduna,2025,3,March
IBD031929,2025-03-11,2025-03-11,3,Road AccidentVsExplosion,Lagos,2025,3,March
IBD031928,2025-03-11,2025-03-11,4,Herders Attack,Benue,2025,3,March
IBD031937,2025-03-11,2025-03-11,3,Army Vs Terrorist,Kaduna,2025,3,March
IBD031957,2025-03-10,2025-03-10,3,Bandits Vs Worshippers,Nasarawa,2025,3,March
IBD031909,2025-03-10,2025-03-10,1,Domestic Violence,Akwa Ibom,2025,3,March
IBD031924,2025-03-10,2025-03-10,1,Extrajudicial Killing,Niger,2025,3,March
IBD031927,2025-03-10,2025-03-10,1,Extrajudicial Killing,Niger,2025,3,March
IBD031904,2025-03-10,2025-03-10,1,Auxiliary Nurse,Delta,2025,3,March
IBD031926,2025-03-10,2025-03-10,1,Extrajudicial Killings,Niger,2025,3,March
IBD031916,2025-03-10,2025-03-10,1,Police Vs Kidnappers,Akwa Ibom,2025,3,March
IBD031925,2025-03-10,2025-03-10,11,Farmers Vs Herders,Nasarawa,2025,3,March
IBD031930,2025-03-10,2025-03-10,1,Assailant Vs Man,Lagos,2025,3,March
IBD031961,2025-03-09,2025-03-09,4,Police Vs Kidnappers,Delta,2025,3,March
IBD031911,2025-03-09,2025-03-09,13,Lakurawa Bandits Kills 11,Kebbi,2025,3,March
IBD031910,2025-03-09,2025-03-09,17,Suspected Herders Kill 20,Ondo,2025,3,March
IBD031915,2025-03-09,2025-03-09,1,Customs Operavtives Vs Smugglers,Ogun,2025,3,March
IBD031912,2025-03-09,2025-03-09,8,Road Accident,Edo,2025,3,March
IBD031917,2025-03-09,2025-03-09,4,Road Accident,Ogun,2025,3,March
IBD031923,2025-03-09,2025-03-09,1,Road Accident,Fct (Abuja),2025,3,March
IBD031921,2025-03-09,2025-03-09,1,Kidnappers Vs Woman,Kaduna,2025,3,March
IBD031934,2025-03-08,2025-03-08,1,Murder,Niger,2025,3,March
IBD031935,2025-03-08,2025-03-08,1,Drown,Niger,2025,3,March
IBD031919,2025-03-08,2025-03-08,1,Palm Tree Kills Man,Ogun,2025,3,March
IBD031906,2025-03-08,2025-03-08,1,Fight,Lagos,2025,3,March
IBD031922,2025-03-08,2025-03-08,1,Man Vs Friend,Fct (Abuja),2025,3,March
IBD031905,2025-03-08,2025-03-08,1,Cultist Vs Dj,Lagos,2025,3,March
IBD031931,2025-03-08,2025-03-08,1,Boko Haram Vs Vigilante,Yobe,2025,3,March
IBD031914,2025-03-08,2025-03-08,1,Gunmen Vs Apc Council Chairman,Lagos,2025,3,March
IBD031900,2025-03-08,2025-03-08,1,Communal Clash,Niger,2025,3,March
IBD031897,2025-03-08,2025-03-08,1,Miyetti Allah Chairman,Kwara,2025,3,March
IBD031951,2025-03-07,2025-03-07,1,Boy Beheaded,Adamawa,2025,3,March
IBD031932,2025-03-07,2025-03-07,2,Herdsmen Attack,Kogi,2025,3,March
IBD031899,2025-03-07,2025-03-07,5,Road Accident,Abia,2025,3,March
IBD031898,2025-03-07,2025-03-07,1,Ritual Killing,Edo,2025,3,March
IBD031902,2025-03-07,2025-03-08,15,Herdsmen Attack,Benue,2025,3,March
IBD031885,2025-03-06,2025-03-06,5,Medical Negligence,Benue,2025,3,March
IBD031876,2025-03-06,2025-03-06,1,Electrocution,Ogun,2025,3,March
IBD031940,2025-03-06,2025-03-06,1,Domestic Violence,Ogun,2025,3,March
IBD031895,2025-03-06,2025-03-06,1,Security Operatives Vs Terrorist,Kebbi,2025,3,March
IBD031882,2025-03-05,2025-03-05,3,Building Collapse,Lagos,2025,3,March
IBD031891,2025-03-05,2025-03-05,12,Security Operatives Vs Bandits,Zamfara,2025,3,March
IBD031892,2025-03-05,2025-03-05,7,Road AccidentVs Explosion,Niger,2025,3,March
IBD031998,2025-03-05,2025-03-05,1,Drowns,Fct (Abuja),2025,3,March
IBD031880,2025-03-05,2025-03-05,1,Gunmen Vs Cleric,Kaduna,2025,3,March
IBD031894,2025-03-05,2025-03-05,2,Road Accident,Bayelsa,2025,3,March
IBD031871,2025-03-04,2025-03-04,2,Explosion,Oyo,2025,3,March
IBD032053,2025-03-04,2025-03-04,1,Road Accident,Lagos,2025,3,March
IBD031869,2025-03-04,2025-03-04,1,Police Vs Herder,Edo,2025,3,March
IBD031870,2025-03-04,2025-03-04,17,Road Accident,Ogun,2025,3,March
IBD031865,2025-03-04,2025-03-04,2,Gunmen Attack,Abia,2025,3,March
IBD031881,2025-03-04,2025-03-04,10,Road Accident,Anambra,2025,3,March
IBD031848,2025-03-04,2025-03-04,4,Bridge Collapse,Akwa Ibom,2025,3,March
IBD031873,2025-03-04,2025-03-04,1,Gunmen Vs Immigration Officer,Fct (Abuja),2025,3,March
IBD031889,2025-03-04,2025-03-04,1,Man Dies Working On Farm,Fct (Abuja),2025,3,March
IBD031884,2025-03-04,2025-03-04,14,Police Vs Kidnappers,Fct (Abuja),2025,3,March
IBD031879,2025-03-03,2025-03-03,4,Road Accident,Kogi,2025,3,March
IBD031877,2025-03-03,2025-03-03,2,Gunmen Attack,Benue,2025,3,March
IBD031890,2025-03-03,2025-03-03,2,Boko Harm Kill Police Officer Children,Borno,2025,3,March
IBD031868,2025-03-03,2025-03-03,1,Gunmen Vs Site Engineer,Edo,2025,3,March
IBD031867,2025-03-03,2025-03-03,1,Drown,Fct (Abuja),2025,3,March
IBD031893,2025-03-03,2025-03-03,1,Assailant Vs Man,Ogun,2025,3,March
IBD031936,2025-03-03,2025-03-03,1,Bandit Leader,Fct (Abuja),2025,3,March
IBD031941,2025-03-02,2025-03-02,1,Woman Killed,Bauchi,2025,3,March
IBD031888,2025-03-02,2025-03-02,1,Herders Kill Man,Fct (Abuja),2025,3,March
IBD031858,2025-03-02,2025-03-02,1,Gunmen Attack One,Gombe,2025,3,March
IBD031874,2025-03-02,2025-03-02,1,Community Leader Killed,Anambra,2025,3,March
IBD031866,2025-03-02,2025-03-02,1,Teenager,Ogun,2025,3,March
IBD031861,2025-03-02,2025-03-02,1,Herdsmen Vs Vigilante,Delta,2025,3,March
IBD031883,2025-03-01,2025-03-01,1,Drug Addict Kill Phone Charger,Ogun,2025,3,March
IBD031853,2025-03-01,2025-03-01,1,Domestic Violence,Bauchi,2025,3,March
IBD031854,2025-03-01,2025-03-01,6,Herdsmen Vs Farmers,Benue,2025,3,March
IBD031939,2025-03-01,2025-03-01,1,Policeman Vs Okada Riders,Plateau,2025,3,March
IBD031659,2025-03-01,2025-03-01,2,Police Vs Kidnappers,Kwara,2025,3,March
IBD031855,2025-03-01,2025-03-01,1,Gunmen Vs Businessman,Ondo,2025,3,March
IBD031913,2025-03-01,2025-03-01,2,Female Corpses,Delta,2025,3,March
IBD031852,2025-03-01,2025-03-01,12,Road Accident,Edo,2025,3,March
IBD031857,2025-03-01,2025-03-01,1,Gunmen Vs Man,Zamfara,2025,3,March
IBD031864,2025-03-01,2025-03-01,15,Soldiers Vs Boko Haram,Borno,2025,3,March
IBD031860,2025-02-28,2025-02-28,2,Cult Clash,Delta,2025,2,February
IBD032001,2025-02-28,2025-02-28,1,Inferno,Yobe,2025,2,February
IBD031856,2025-02-28,2025-02-28,1,Herdsmen Attack,Delta,2025,2,February
IBD031808,2025-02-28,2025-02-28,1,Road Accident,Kwara,2025,2,February
IBD031887,2025-02-28,2025-02-28,1,Domestic Violence,Bauchi,2025,2,February
IBD031862,2025-02-27,2025-02-27,2,Banditry,Zamfara,2025,2,February
IBD031839,2025-02-27,2025-02-27,6,Road Accident,Enugu,2025,2,February
IBD031846,2025-02-27,2025-02-27,2,Herdsmen Attack,Edo,2025,2,February
IBD031851,2025-02-27,2025-02-27,17,Banditry,Katsina,2025,2,February
IBD031847,2025-02-27,2025-02-27,1,Soldier Kill Man,Akwa Ibom,2025,2,February
IBD031886,2025-02-27,2025-02-27,1,Gunmen Attack,Ogun,2025,2,February
IBD031901,2025-02-26,2025-02-26,1,Domestic Violence,Lagos,2025,2,February
IBD031850,2025-02-26,2025-02-26,10,Bandits Vs Farmers,Niger,2025,2,February
IBD031844,2025-02-26,2025-02-26,1,Cult Attack,Bayelsa,2025,2,February
IBD031837,2025-02-26,2025-02-26,7,Boko Haram Attack,Borno,2025,2,February
IBD031843,2025-02-26,2025-02-26,1,NAF Officer Kill Man,Kaduna,2025,2,February
IBD031840,2025-02-26,2025-02-26,1,Land Dispute,Delta,2025,2,February
IBD031834,2025-02-25,2025-02-26,40,Boko Haram Attack,Adamawa,2025,2,February
IBD031822,2025-02-25,2025-02-25,1,Kidnappers Kill Hunter,Oyo,2025,2,February
IBD031838,2025-02-25,2025-02-25,2,Boko HaramVsIswap Landmine Kills 2,Borno,2025,2,February
IBD031833,2025-02-25,2025-02-25,2,Kidnappers Vs Police Officers,Plateau,2025,2,February
IBD031826,2025-02-25,2025-02-25,10,Road Accident,Yobe,2025,2,February
IBD031828,2025-02-25,2025-02-25,3,Road Accident,Sokoto,2025,2,February
IBD031812,2025-02-24,2025-02-24,9,Road Accident,Ogun,2025,2,February
IBD031824,2025-02-24,2025-02-24,2,Road Accident,Lagos,2025,2,February
IBD031830,2025-02-24,2025-02-24,5,Boat Mishap,Delta,2025,2,February
IBD031823,2025-02-24,2025-02-24,1,Domestic Violence,Bauchi,2025,2,February
IBD031842,2025-02-24,2025-02-24,1,Road Accident,Ogun,2025,2,February
IBD031832,2025-02-24,2025-02-24,2,Road Accident,Bauchi,2025,2,February
IBD031821,2025-02-24,2025-02-24,1,Road Accident,Lagos,2025,2,February
IBD031845,2025-02-24,2025-02-24,1,Police Kill Man,Enugu,2025,2,February
IBD031836,2025-02-24,2025-02-24,1,Herdsmen Vs Vigilante Commander,Edo,2025,2,February
IBD031813,2025-02-24,2025-02-24,2,Herders Vs Farmers,Edo,2025,2,February
IBD031875,2025-02-24,2025-02-24,1,Domestic Violence,Bauchi,2025,2,February
IBD031820,2025-02-23,2025-02-23,1,Security Operatives Vs Artisan,Edo,2025,2,February
IBD031819,2025-02-23,2025-02-23,1,Security Operatives Kills 1,Katsina,2025,2,February
IBD031816,2025-02-23,2025-02-23,1,Man Vs Friend,Niger,2025,2,February
IBD031907,2025-02-23,2025-02-23,1,Revenue Collector Vs Truck Driver,Edo,2025,2,February
IBD031825,2025-02-23,2025-02-23,2,Road Accident,Oyo,2025,2,February
IBD031817,2025-02-23,2025-02-23,1,Student Drowns,Bayelsa,2025,2,February
IBD031841,2025-02-22,2025-02-22,4,Fish Poison,Taraba,2025,2,February
IBD031800,2025-02-22,2025-02-22,1,Man Drowns,Ogun,2025,2,February
IBD031806,2025-02-22,2025-02-22,23,NAF Kill Bandits,Zamfara,2025,2,February
IBD031804,2025-02-22,2025-02-22,4,Car Accident,Jigawa,2025,2,February
IBD031835,2025-02-22,2025-02-22,1,Ritual Killing,Edo,2025,2,February
IBD031799,2025-02-22,2025-02-22,1,Road Accident,Delta,2025,2,February
IBD031803,2025-02-22,2025-02-22,1,Farmer,Ogun,2025,2,February
IBD031796,2025-02-22,2025-02-22,1,Domestic Violence,Edo,2025,2,February
IBD031795,2025-02-21,2025-02-21,1,Witchcraft Suspect,Borno,2025,2,February
IBD031814,2025-02-21,2025-02-21,1,Banditry,Kaduna,2025,2,February
IBD031798,2025-02-21,2025-02-21,13,Road Accident,Niger,2025,2,February
IBD031810,2025-02-21,2025-02-21,1,Motorcycle Thief,Fct (Abuja),2025,2,February
IBD031805,2025-02-21,2025-02-21,1,Boy Drowns,Ogun,2025,2,February
IBD031863,2025-02-21,2025-02-21,1,Kidnappers Kills 1,Zamfara,2025,2,February
IBD031818,2025-02-21,2025-02-21,1,Domestic Violence,Lagos,2025,2,February
IBD031827,2025-02-21,2025-02-21,4,Security Operatives Vs Bandits,Katsina,2025,2,February
IBD031797,2025-02-20,2025-02-21,12,Communal Clash,Edo,2025,2,February
IBD031793,2025-02-20,2025-02-20,1,Building Collapse,Yobe,2025,2,February
IBD031802,2025-02-20,2025-02-20,4,Banditry,Niger,2025,2,February
IBD031794,2025-02-20,2025-02-20,4,Police Vs Kidnappers,Ogun,2025,2,February
IBD031792,2025-02-20,2025-02-20,1,Fallen Mast,Edo,2025,2,February
IBD031786,2025-02-19,2025-02-19,1,Banditry,Niger,2025,2,February
IBD031811,2025-02-19,2025-02-19,3,RitualVsDomestic Violence,Abia,2025,2,February
IBD031785,2025-02-18,2025-02-18,3,Explosion,Zamfara,2025,2,February
IBD031768,2025-02-18,2025-02-18,2,Domestic Violence,Ekiti,2025,2,February
IBD031782,2025-02-18,2025-02-18,1,Banditry,Zamfara,2025,2,February
IBD031783,2025-02-18,2025-02-18,2,Kidnappers Attack,Fct (Abuja),2025,2,February
IBD031769,2025-02-18,2025-02-18,1,Communal Clash,Ebonyi,2025,2,February
IBD031759,2025-02-17,2025-02-17,1,Political Crisis,Osun,2025,2,February
IBD031757,2025-02-17,2025-02-17,2,Political Crisis,Osun,2025,2,February
IBD031758,2025-02-17,2025-02-17,2,Political Crisis,Osun,2025,2,February
IBD031781,2025-02-17,2025-02-17,10,Army Vs Boko Haram,Borno,2025,2,February
IBD031778,2025-02-17,2025-02-17,1,Assailants Vs Student,Ondo,2025,2,February
IBD031753,2025-02-17,2025-02-17,3,Gunmen Attack,Benue,2025,2,February
IBD031755,2025-02-17,2025-02-17,1,Cult Clash,Delta,2025,2,February
IBD031771,2025-02-16,2025-02-16,1,Road Accident,Ogun,2025,2,February
IBD031763,2025-02-16,2025-02-16,1,Hoodlums Vs Motorcyclist,Fct (Abuja),2025,2,February
IBD031878,2025-02-16,2025-02-16,1,Extrajudicial Killing,Ondo,2025,2,February
IBD031756,2025-02-16,2025-02-16,3,Inferno,Ondo,2025,2,February
IBD031760,2025-02-16,2025-02-16,8,Road Accident,Imo,2025,2,February
IBD031766,2025-02-16,2025-02-16,1,Ritual Killing,Ogun,2025,2,February
IBD031742,2025-02-16,2025-02-16,1,Security Operatives Vs Armed Robber,Ogun,2025,2,February
IBD031761,2025-02-16,2025-02-16,7,Road Accident,Kogi,2025,2,February
IBD031770,2025-02-16,2025-02-16,1,Kidnappers Attack,Imo,2025,2,February
IBD031772,2025-02-16,2025-02-16,17,Road Accident,Delta,2025,2,February
IBD031767,2025-02-16,2025-02-16,1,Security Operatives Vs Student,Kaduna,2025,2,February
IBD031743,2025-02-15,2025-02-15,1,Mysterious Death,Ogun,2025,2,February
IBD031749,2025-02-15,2025-02-15,1,Gunmen Attack,Kwara,2025,2,February
IBD031751,2025-02-15,2025-02-15,1,Kidnapers Vs Health Worker,Ondo,2025,2,February
IBD031745,2025-02-15,2025-02-15,2,Mob Vs Robbers,Fct (Abuja),2025,2,February
IBD031752,2025-02-15,2025-02-15,22,Herdsmen Vs Farmers,Benue,2025,2,February
IBD031750,2025-02-15,2025-02-15,4,Mob Vs NDLEA OfficerVs Road Accident,Kaduna,2025,2,February
IBD031849,2025-02-15,2025-02-15,1,Friends Murder Man,Lagos,2025,2,February
IBD031744,2025-02-15,2025-02-15,1,Corpse Found,Kano,2025,2,February
IBD031748,2025-02-15,2025-02-15,10,Army Vs Villagers,Katsina,2025,2,February
IBD031920,2025-02-15,2025-02-15,1,Domestic Violence,Cross River,2025,2,February
IBD031960,2025-02-15,2025-02-15,7,Fire Incidents,Kano,2025,2,February
IBD031737,2025-02-14,2025-02-14,4,Police Vs Kidnappers,Kebbi,2025,2,February
IBD031859,2025-02-14,2025-02-14,1,Domestic Violence,Ondo,2025,2,February
IBD031740,2025-02-14,2025-02-14,1,Assailant Vs Traditional Ruler,Abia,2025,2,February
IBD031736,2025-02-14,2025-02-14,8,Road Accident,Anambra,2025,2,February
IBD031765,2025-02-14,2025-02-15,2,Cult Clash,Lagos,2025,2,February
IBD031746,2025-02-14,2025-02-14,1,Extrajudicial Killing,Ondo,2025,2,February
IBD031732,2025-02-13,2025-02-13,2,Kidnappers Set Ablaze,Delta,2025,2,February
IBD031733,2025-02-13,2025-02-13,1,Road Accident,Ogun,2025,2,February
IBD031764,2025-02-13,2025-02-13,1,Cult Clash,Ogun,2025,2,February
IBD031780,2025-02-13,2025-02-13,1,Man Vs Friend,Fct (Abuja),2025,2,February
IBD031779,2025-02-13,2025-02-13,2,Extrajudicial Killing,Delta,2025,2,February
IBD031734,2025-02-13,2025-02-13,23,Road Accident,Kano,2025,2,February
IBD031727,2025-02-12,2025-02-12,1,Road Accident,Bauchi,2025,2,February
IBD031728,2025-02-12,2025-02-12,3,Police Vs Armed Robbers,Fct (Abuja),2025,2,February
IBD031741,2025-02-12,2025-02-12,1,Extrajudicial Killing,Lagos,2025,2,February
IBD031729,2025-02-12,2025-02-12,1,Stab To Death,Rivers,2025,2,February
IBD031829,2025-02-12,2025-02-12,2,Kidnappers Kill Two,Kogi,2025,2,February
IBD031807,2025-02-11,2025-02-11,1,Extrajudicial Killing,Benue,2025,2,February
IBD031713,2025-02-11,2025-02-11,1,Mob Vs Thief,Akwa Ibom,2025,2,February
IBD031726,2025-02-11,2025-02-11,3,Road Accident,Taraba,2025,2,February
IBD031738,2025-02-11,2025-02-11,1,Ritual Killing,Kwara,2025,2,February
IBD031717,2025-02-10,2025-02-10,1,Bandits Vs Traders,Katsina,2025,2,February
IBD031714,2025-02-10,2025-02-10,1,Communal Clash,Akwa Ibom,2025,2,February
IBD031762,2025-02-10,2025-02-10,1,Kidnap Victim,Fct (Abuja),2025,2,February
IBD031709,2025-02-10,2025-02-10,1,Road Accident,Niger,2025,2,February
IBD031720,2025-02-10,2025-02-10,1,Assailants Vs Girl,Ekiti,2025,2,February
IBD031721,2025-02-10,2025-02-10,1,Student Drowns,Benue,2025,2,February
IBD031719,2025-02-09,2025-02-09,2,Gunmen Vs Police Officer,Yobe,2025,2,February
IBD031705,2025-02-09,2025-02-09,1,Gunmen Attack Pastor,Gombe,2025,2,February
IBD031708,2025-02-09,2025-02-09,5,Road Accident,Jigawa,2025,2,February
